icao24,origin_country,velocity,on_ground
87cd2f,Japan,216.82,False
39dd57,France,149.79,False
adfebf,United States,225.15,False
39dd59,France,91.12,False
7c759b,Australia,55.8,False
adfebb,United States,81.12,False
300a9d,Italy,135.56,False
478764,Norway,117.57,False
a3411f,United States,238.28,False
8a03af,Indonesia,151.24,False
00a018,South Africa,51.45,False
8a03aa,Indonesia,224.19,False
440195,Austria,0.0,True
440191,Austria,212.88,False
452169,Bulgaria,229.71,False
452166,Bulgaria,242.33,False
471dbf,Hungary,233.19,False
471dbd,Hungary,250.7,False
440135,Austria,89.46,False
471dbc,Hungary,245.2,False
471dba,Hungary,210.23,False
440141,Austria,226.34,False
471dc1,Hungary,232.18,False
471dd6,Hungary,0.0,True
47871d,Norway,64.4,False
440159,Austria,204.33,False
471da8,Hungary,75.62,False
471daf,Hungary,1.54,True
8a0515,Indonesia,70.21,False
471db6,Hungary,248.66,False
471db7,Hungary,241.42,False
471db4,Hungary,172.36,False
471db5,Hungary,258.92,False
471db8,Hungary,170.21,False
471db9,Hungary,264.41,False
44013f,Austria,50.44,False
471db3,Hungary,243.42,False
452122,Bulgaria,210.37,False
4bb2b2,Turkey,213.04,False
387fdc,France,55.41,False
8a0509,Indonesia,208.78,False
4bb2aa,Turkey,223.37,False
84d622,Japan,198.11,False
a41f37,United States,248.42,False
7020a6,Bangladesh,137.53,False
7c7534,Australia,117.97,False
300a55,Italy,46.86,False
7020ae,Bangladesh,0.0,True
7020ab,Bangladesh,185.27,False
7020b2,Bangladesh,237.87,False
e4a56c,Brazil,97.38,False
0088b3,South Africa,110.88,False
0d12ac,Mexico,225.48,False
7c752f,Australia,190.74,False
7c7526,Australia,268.26,False
a379d3,United States,0.06,True
7020bc,Bangladesh,149.61,False
7020c2,Bangladesh,0.0,False
300a1a,Italy,47.02,False
4bb2a1,Turkey,211.15,False
300a1f,Italy,51.26,False
e49bfd,Brazil,245.52,False
8018be,India,205.12,False
a83108,United States,235.01,False
e4a54d,Brazil,213.41,False
846021,Japan,222.45,False
a126e7,United States,249.56,False
4bb2a9,Turkey,294.64,False
a4c3a0,United States,132.5,False
39a864,France,62.16,False
a41f6c,United States,234.28,False
8017fd,India,47.04,False
404432,United Kingdom,56.68,False
8004df,India,0.0,True
8004dd,India,211.54,False
8017e5,India,167.68,False
adc9b6,United States,266.55,False
4bb1c4,Turkey,225.49,False
4892c1,Poland,209.67,False
4892c0,Poland,210.27,False
8017ee,India,211.54,False
4892c8,Poland,214.92,False
c04738,Canada,244.73,False
39320d,France,70.75,False
4b1fa1,Switzerland,78.8,False
a53f20,United States,141.92,False
c07b8c,Canada,263.63,False
896210,United Arab Emirates,131.43,False
a9515c,United States,96.2,False
345692,Spain,73.06,False
896214,United Arab Emirates,222.83,False
5000da,San Marino,195.43,False
ab5c69,United States,254.93,False
884207,Thailand,215.24,False
884202,Thailand,232.86,False
7380c2,Israel,207.38,False
7380c0,Israel,267.52,False
7380c6,Israel,218.84,False
7380c5,Israel,239.09,False
7380c4,Israel,272.76,False
7380c3,Israel,246.1,False
7380c8,Israel,9.26,True
c81a5a,New Zealand,102.11,False
c81a5b,New Zealand,135.14,False
4b1faf,Switzerland,75.83,False
4785be,Norway,139.86,False
344346,Spain,217.57,False
4785bd,Norway,158.52,False
7380cb,Israel,216.11,False
7380ca,Israel,234.65,False
34565a,Spain,139.36,False
7380cc,Israel,235.03,False
a36825,United States,259.15,False
a76c79,United States,256.3,False
a8dc4b,United States,304.21,False
7c619e,Australia,0.0,True
345646,Spain,226.33,False
345642,Spain,106.63,False
345643,Spain,11.83,True
aa90c2,United States,242.64,False
8a04a9,Indonesia,75.95,False
344307,Spain,117.12,False
840a7c,Japan,231.21,False
4bb325,Turkey,244.11,False
345613,Spain,185.76,False
345615,Spain,224.98,False
345612,Spain,233.55,False
c07b09,Canada,0.0,True
3ea556,Germany,137.26,False
47b03a,Norway,26.52,False
a1286c,United States,265.53,False
3451da,Spain,154.74,False
ad474e,United States,262.37,False
a118a1,United States,28.33,False
4079f6,United Kingdom,217.63,False
4079f7,United Kingdom,227.45,False
abe101,United States,258.68,False
506ce5,Slovenia,161.35,False
800791,India,268.19,False
3451ca,Spain,123.6,False
3451d8,Spain,193.38,False
48f453,Poland,5.92,True
4bb266,Turkey,238.41,False
3451d3,Spain,181.92,False
3d7b22,Germany,88.79,False
4bb21a,Turkey,219.31,False
4079cc,United Kingdom,150.07,False
02010d,Morocco,226.21,False
4079d0,United Kingdom,144.53,False
a45353,United States,62.32,False
